p,K,KsqrtlogK,MND
0.059,2.42275652246816,2.2790734888877,1.77301758345613
0.06,2.40910861914573,2.25898970728068,1.75817889997451
0.061,2.39579077992125,2.23940877939557,1.71648048591951
0.062,2.38278990007901,2.22031020827998,1.64365881712802
0.063,2.3700935951107,2.20167464521628,1.67873071583758
0.064,2.35769015046287,2.18348380841284,1.59801922092422
0.065,2.34556847551279,2.16572040861889,1.61238244803096
0.066,2.33371806135815,2.14836808097717,1.69729548159098
0.067,2.3221289420521,2.13141132250575,1.61118107549482
0.068,2.31079165895567,2.1148354346678,1.60567960701232
0.069,2.29969722791515,2.09862647054733,1.66908093387072
0.07,2.28883710900332,2.08277118620069,1.64469769410142
0.071,2.27820317859073,2.0672569957996,1.5769170240696
0.072,2.26778770353771,2.05207193022126,1.63561860577676
0.073,2.2575833173191,2.03720459877713,1.56323882965046
0.074,2.2475829979127,2.02264415380309,1.58808136109388
0.075,2.23778004729926,2.00838025786165,1.57682431687724
0.076,2.22816807243694,1.99440305333156,1.49650636511073
0.077,2.21874096758617,1.98070313418237,1.46474107402787
0.078,2.20949289787312,1.96727151975065,1.5508673535875
0.079,2.2004182839902,1.95409963035257,1.47399179516028
0.08,2.19151178794175,1.94117926458261,1.45331400061454
0.081,2.18276829975136,1.92850257816259,1.45367986950062
0.082,2.17418292505512,1.91606206421731,1.48999667080472
0.083,2.16575097351162,1.9038505348647,1.46780911982371
0.084,2.15746794796586,1.89186110401806,1.42620030482075
0.085,2.1493295343098,1.8800871713073,1.4813996087839
0.086,2.14133159198701,1.86852240703427,1.43462431834444
0.087,2.13347014509367,1.85716073808433,1.45230377108405
0.088,2.12574137403201,1.84599633472338,1.44908744121224
0.089,2.11814160767619,1.83502359821521,1.45610354820682
0.09,2.1106673160136,1.82423714919974,1.42838123823196
0.091,2.10331510322797,1.81363181677744,1.44272360939975
0.092,2.0960817011932,1.80320262824984,1.38794412268583
0.093,2.08896396334933,1.79294479947012,1.39660254961874
0.094,2.08195885893433,1.7828537257612,1.39404447083759
0.095,2.0750634675476,1.77292497336253,1.38819379107923
0.096,2.06827497402281,1.76315427136944,1.41221121851881
0.097,2.06159066358934,1.75353750413203,1.36344319749233
0.098,2.0550079173035,1.74407070408282,1.38783943487509
0.099,2.04852420773174,1.73475004496503,1.37071390419075
0.1,2.0421370948696,1.72557183543517,1.22197426164503
